"spi1","xg2","score2","xg1","spi2","score1","adj_score1","date","proj_score2","nsxg2","league","league_id","probtie","prob2","team1"
66.93,0.9,1,0.85,87.55,2,2.1,"2022-12-02",1.84,0.64,"FIFA World Cup",1908,0.2468,0.5866,"South Korea"
74.72,2.42,3,0.64,77,2,2.1,"2022-12-02",1.36,1.28,"FIFA World Cup",1908,0.2909,0.3965,"Serbia"
64.48,2.75,0,0.38,93.48,1,1.05,"2022-12-02",2.29,2.99,"FIFA World Cup",1908,0.1524,0.8112,"Cameroon"
83.97,1.43,1,1.16,73.07,3,2.87,"2022-12-03",0.88,1.08,"FIFA World Cup",1908,0,0.3449,"Netherlands"
87.98,0.32,1,1.27,59.35,2,2.1,"2022-12-03",0.57,0.92,"FIFA World Cup",1908,0,0.1739,"Argentina"
88.57,1.91,1,1.17,65.77,3,2.52,"2022-12-04",0.71,0.85,"FIFA World Cup",1908,0,0.1867,"France"
86.97,1.09,0,0.87,75.47,3,3.15,"2022-12-04",0.83,0.62,"FIFA World Cup",1908,0,0.3186,"England"
73.02,1.43,1,1.55,79.14,1,1.05,"2022-12-05",1.27,1.61,"FIFA World Cup",1908,0,0.546,"Japan"
92.9,0.67,1,2.96,69.4,4,4.2,"2022-12-05",0.58,0.69,"FIFA World Cup",1908,0,0.1739,"Brazil"
74.42,1.01,0,0.69,89.2,0,0,"2022-12-06",1.44,1.58,"FIFA World Cup",1908,0,0.7289,"Morocco"
85.8,0.98,1,1.34,78.51,6,5.78,"2022-12-06",1.08,0.7,"FIFA World Cup",1908,0,0.3842,"Portugal"
78.99,1.9,1,0.62,93.47,1,1.05,"2022-12-09",1.72,2.74,"FIFA World Cup",1908,0,0.7736,"Croatia"
84.19,1.52,2,0.43,87.32,2,2.1,"2022-12-09",1.31,1.79,"FIFA World Cup",1908,0,0.5762,"Netherlands"
74.45,1.11,0,0.57,87.92,1,1.05,"2022-12-10",1.46,1.32,"FIFA World Cup",1908,0,0.6815,"Morocco"
87.59,0.97,2,2.42,87.53,1,1.05,"2022-12-10",1.23,1.53,"FIFA World Cup",1908,0,0.484,"England"
87.46,0.53,0,1.69,79.37,3,3.15,"2022-12-13",0.84,1.16,"FIFA World Cup",1908,0,0.3574,"Argentina"
87.72,0.79,0,1.4,75.13,2,1.87,"2022-12-14",0.82,0.7,"FIFA World Cup",1908,0,0.3354,"France"
77.65,0.96,1,0.76,73.92,2,2.1,"2022-12-17",0.88,0.73,"FIFA World Cup",1908,0,0.4675,"Croatia"
88.86,2.25,3,2.81,88.41,3,3.15,"2022-12-18",1.18,0.76,"FIFA World Cup",1908,0,0.4679,"Argentina"
